Serial Number,Error Type,Ungrammatical Statement,Standard English
1365,Contractions Errors,"The sun's rays are strong, they're making the day hot.","The sun's rays are strong, they're making the day hot."
1366,Word Choice/Usage,"He was feeling board, so he decided to read a book.","He was feeling bored, so he decided to read a book."
1367,Article Usage,She is reading a newspaper while drinking a tea.,She is reading the newspaper while drinking tea.
1368,Spelling Mistakes,34. The airplane was delayed due to bad wheather conditions.,34. The airplane was delayed due to bad weather conditions.
1369,Subject-Verb Agreement,The employees at the store works diligently.,The employees at the store work diligently.
1370,Subject-Verb Agreement,The number of people in the room was growing.,The number of people in the room were growing.
1371,Spelling Mistakes,61. The city is known for its historic architecture and buetiful parks.,61. The city is known for its historic architecture and beautiful parks.
1372,Verb Tense Errors,I goes to the store everyday.,I go to the store everyday.
1373,Verb Tense Errors,The children was playing in the park.,The children were playing in the park.
1374,Punctuation Errors,"When I visited Paris, I went to the Louvre Museum, and the Eiffel Tower.","When I visited Paris, I went to the Louvre Museum and the Eiffel Tower."
1375,Preposition Usage,I need to talk with him about the project.,I need to talk to him about the project.
1376,Ellipsis Errors,She was so tired... couldn't keep her eyes open.,She was so tired that she couldn't keep her eyes open.
1377,Relative Clause Errors,The movie we watched yesterday was boring.,The movie that we watched yesterday was boring.
1378,Infinitive Errors,"To securely store your passwords, use a password manager.","To store your passwords securely, use a password manager."
1379,Subject-Verb Agreement,The stack of papers on the desk need to be sorted.,The stack of papers on the desk needs to be sorted.
1380,Negation Errors,You can't eat no ice cream before dinner.,You can't eat any ice cream before dinner.
1381,Infinitive Errors,The tourists wanted to leisurely explore the city.,The tourists wanted to explore the city leisurely.
1382,Mixed Metaphors/Idioms,"7. I'll cross that bridge when I come to it, but a bird in the hand is worth two in the bush.",7. I'll cross that bridge when I come to it.
1383,Article Usage,The artist is painting a landscape with a oil paint.,The artist is painting a landscape with oil paint.
1384,Clichés,"It's six one, half dozen other.","It's six of one, half a dozen of the other."
1385,Passive Voice Overuse,The game was won by the home team in overtime.,The home team won the game in overtime.
1386,Capitalization Errors,this is a beautiful painting by vincent van gogh.,This is a beautiful painting by Vincent van Gogh.
1387,Verb Tense Errors,They watches the movie together.,They watch the movie together.
1388,Article Usage,The workers are constructing a new building.,The workers are constructing the new building.
1389,Gerund and Participle Errors,The team was congratulate on their victory.,The team was congratulated on their victory.
1390,Clichés,That's music my ears.,That's music to my ears.
1391,Subject-Verb Agreement,The government's policies has a significant impact on the economy.,The government's policies have a significant impact on the economy.
1392,Passive Voice Overuse,The plants were watered by Jane every day.,Jane watered the plants every day.
1393,Verb Tense Errors,The dogs barks at the mail carrier.,The dogs bark at the mail carrier.
1394,Quantifier Errors,Few of the ingredients in this dish are spicy.,Few ingredients in this dish are spicy.
1395,"Slang, Jargon, and Colloquialisms",45. The chef cooked up some delish dishes.,45. The chef prepared some delicious dishes.
1396,Ellipsis Errors,I'm tired... need to finish this work.,"I'm tired, but I need to finish this work."
1397,Preposition Usage,He threw the ball inside the window.,He threw the ball through the window.
1398,Ambiguity,The dog layed on the floor.,The dog lay on the floor.
1399,"Slang, Jargon, and Colloquialisms",16. They be doing the most to impress the boss.,16. They are always going above and beyond to impress the boss.
1400,Preposition Usage,She is traveling by train.,She is traveling on a train.
1401,Sentence Fragments,"The sun bright, sunglasses needed.",The sun was so bright that sunglasses were needed.
1402,Run-on Sentences,She was happy she got a promotion.,"She was happy, for she got a promotion."
1403,Lack of Parallelism in Lists or Series,"The workshop will help participants develop leadership skills, build confidence, and to network.","The workshop will help participants develop leadership skills, build confidence, and network."
1404,Passive Voice Overuse,The contract was signed by the CEO after reviewing the terms.,The CEO signed the contract after reviewing the terms.
1405,Gerund and Participle Errors,The artist is known for his innovate use of color.,The artist is known for his innovative use of color.
1406,Ellipsis Errors,She was so tired... couldn't keep her eyes open.,She was so tired that she couldn't keep her eyes open.
1407,Faulty Comparisons,The meeting was less longer than I anticipated.,The meeting was shorter than I anticipated.
1408,"Slang, Jargon, and Colloquialisms","9. He's a big ol' boy, ain't he?","9. He's a big boy, isn't he?"
1409,Agreement in Comparative and Superlative Forms,The most easiest way to learn is by doing.,The easiest way to learn is by doing.
1410,Relative Clause Errors,The computer I'm using it for work needs an upgrade.,The computer that I'm using for work needs an upgrade.
1411,Ellipsis Errors,The presentation was informative... a bit boring.,"The presentation was informative, but it was a bit boring."
1412,Preposition Usage,They're going for a walk along the river.,They're going for a walk beside the river.
1413,Lack of Parallelism in Lists or Series,"The artist's work is creative, thought-provoking, and to evoke emotions.","The artist's work is creative, thought-provoking, and evokes emotions."
1414,Article Usage,The cake is decorated with a flowers.,The cake is decorated with flowers.
1415,Lack of Parallelism in Lists or Series,"To become a doctor, you need to study hard, be patient, and having good communication skills.","To become a doctor, you need to study hard, be patient, and have good communication skills."
1416,Preposition Usage,I will come back from work in 5 PM.,I will come back from work at 5 PM.
1417,Infinitive Errors,"To properly dispose of waste, use the recycling bins.","To dispose of waste properly, use the recycling bins."
1418,Preposition Usage,The cake was shared between the children.,The cake was shared among the children.
1419,Incorrect Auxiliaries,The book do not belong to me.,The book does not belong to me.
1420,Parallelism Errors,"The class covers grammar, vocabulary, and how to improve pronunciation.","The class covers grammar, vocabulary, and pronunciation improvement."
1421,Gerund and Participle Errors,The parents were worried about their child's safety on the playground.,The parents were worried about their child's safe play on the playground.
1422,Spelling Mistakes,90. He bought a new pair of shoes that were very unconfortable.,90. He bought a new pair of shoes that were very uncomfortable.
1423,Negation Errors,I haven't received no packages.,I haven't received any packages.
